Threshold,Time(s)
100,0.244348521
200,0.237260468
300,0.232998876
400,0.231457067
500,0.224728276
600,0.225026929
700,0.230938711
800,0.233550321
900,0.246881818
1000,0.224438152
1100,0.224601048
1200,0.224811876
1300,0.224507911
1400,0.224367287
1500,0.225103397
1600,0.222911359
1700,0.222752876
1800,0.224767812
1900,0.224225195
2000,0.225351272
2100,0.224543719
2200,0.223480741
2300,0.2255882
2400,0.224438777
2500,0.22478172
2600,0.228163878
2700,0.226833713
2800,0.229342404
2900,0.226695604
3000,0.228500921
3100,0.22665033
3200,0.228917323
3300,0.226349429
3400,0.228396095
3500,0.22535864
3600,0.228923874
3700,0.227554833
3800,0.228014863
3900,0.230765439
4000,0.224378918
4100,0.226755847
4200,0.223771087
4300,0.230322422
4400,0.225873327
4500,0.225965004
4600,0.225580997
4700,0.224094098
4800,0.226855205
4900,0.225501864
5000,0.232491903
5100,0.229024337
5200,0.225701773
5300,0.225062708
5400,0.226050387
5500,0.225183684
5600,0.224986375
5700,0.225199129
5800,0.225068014
5900,0.225128919
6000,0.224775164
6100,0.224066003
6200,0.225474568
6300,0.227356806
6400,0.242497315
6500,0.225037069
6600,0.22370659
6700,0.227213957
6800,0.226377165
6900,0.231948712
7000,0.225565035
7100,0.224831817
7200,0.228825147
7300,0.226248041
7400,0.22619238
7500,0.224676057
7600,0.224738476
7700,0.227032157
7800,0.225552349
7900,0.227423349
8000,0.22515749
8100,0.22516814
8200,0.224902525
8300,0.225499196
8400,0.228424988
8500,0.226282178
8600,0.226542487
8700,0.225324892
8800,0.226342626
8900,0.226548447
9000,0.227632859
9100,0.226877547
9200,0.226545631
9300,0.227907791
9400,0.225644797
9500,0.225098088
9600,0.225488578
9700,0.227416021
9800,0.226161294
9900,0.226643828
10000,0.226363303
10100,0.228943772
10200,0.225640755
10300,0.226257656
10400,0.226726587
10500,0.225286017
10600,0.225905401
10700,0.224992537
10800,0.227842529
10900,0.225880512
11000,0.227101391
11100,0.227599999
11200,0.227130488
11300,0.229322624
11400,0.227490263
11500,0.228969209
11600,0.22818959
11700,0.226898896
11800,0.225554771
11900,0.227570792
12000,0.228113087
12100,0.227830449
12200,0.225768635
12300,0.226549817
12400,0.225764483
12500,0.225663214
12600,0.227689964
12700,0.22750618
12800,0.226114108
12900,0.228878128
13000,0.22690885
13100,0.22544977
13200,0.227504695
13300,0.22457536
13400,0.227016666
13500,0.227387413
13600,0.226405309
13700,0.226715627
13800,0.224770766
13900,0.226408927
14000,0.229504559
14100,0.228171589
14200,0.226156542
14300,0.230288337
14400,0.225600241
14500,0.226710745
14600,0.226223732
14700,0.227087063
14800,0.226194526
14900,0.226429469
15000,0.226090871
